MouseID,Generation,Born_Date,Test_Date,Age,BodyWeight,Forepaws_T1,Forepaws_T2,Forepaws_T3,AllPaws_T1,AllPaws_T2,AllPaws_T3
DO-1D-3061,G23_W2,6/21/16,4/28/17,44,32.29,131.041,146.528,152.485,114.959,241.831,209.667
DO-1D-3062,G23_W2,6/21/16,4/28/17,44,42.57,85.772,153.676,85.772,275.783,164.398,192.988
DO-1D-3063,G23_W2,6/21/16,4/28/17,44,31.8,85.177,147.719,103.642,160.228,219.793,166.184
DO-1D-3064,G23_W2,6/21/16,4/28/17,44,46.86,73.264,95.898,81.603,237.066,187.032,222.175
DO-2D-4049,G23_W2,6/21/16,4/28/17,44,33.06,117.342,159.037,116.15,218.601,170.95,182.267
DO-2D-4050,G23_W2,6/21/16,4/28/17,44,25.51,113.768,74.455,147.719,215.027,182.863,258.509
DO-2D-4051,G23_W2,6/21/16,4/28/17,44,37.38,100.664,78.029,91.133,181.076,203.114,150.698
DO-2D-4052,G23_W2,6/21/16,4/28/17,44,31.7,117.937,141.167,136.998,241.831,200.136,214.432
DO-2D-4053,G23_W2,6/21/16,4/28/17,44,25.68,124.489,75.051,139.976,195.371,167.971,182.267
DO-2D-4054,G23_W2,6/21/16,4/28/17,44,27.69,111.981,130.446,150.698,126.276,94.707,81.007
DO-2D-4055,G23_W2,6/21/16,4/28/17,44,25.57,153.676,73.859,152.485,194.775,210.858,145.933
DO-2D-4056,G23_W2,6/21/16,4/28/17,44,18.45,86.368,73.859,122.107,304.374,167.971,263.275
DO-2D-4057,G23_W2,6/21/16,4/28/17,44,31.35,142.954,136.998,139.38,123.894,173.928,172.737
DO-2D-4058,G23_W2,6/21/16,4/28/17,44,30.74,127.468,163.802,117.342,148.911,176.31,201.328
DO-2D-4059,G23_W2,6/21/16,4/28/17,44,32.8,141.763,65.52,157.845,207.88,145.337,179.884
DO-2D-4061,G23_W2,6/21/16,4/28/17,44,34.77,150.102,91.133,119.724,173.928,273.401,144.741
