ID,Set No,Start date,End date,From cage,month,day,year
DO-48,1,11/12/19,11/14/19,C00106928,,,
DO-49,2,9/24/19,9/27/19,C00106931,,,
DO-5,2,9/24/19,9/27/19,C00106921,,,
DO-50,3,10/1/19,10/4/19,C00106931,,,
DO-51,1,11/12/19,11/14/19,C00106931,,,
DO-52,2,9/24/19,9/27/19,C00106931,,,
DO-53,3,10/1/19,10/4/19,C00106931,,,
DO-54,1,11/12/19,11/14/19,C00106932,,,
DO-55,2,9/24/19,9/27/19,C00106932,,,
DO-56,3,10/1/19,10/4/19,C00106932,,,
DO-57,1,11/12/19,11/14/19,C00106932,,,
DO-59,2,9/24/19,9/27/19,C00106933,,,
DO-6,3,10/1/19,10/4/19,C00106933,,,
DO-60,3,10/1/19,10/4/19,C00106933,,,
DO-61,1,11/12/19,11/14/19,C00106933,,,
DO-62,2,9/24/19,9/27/19,C00106933,,,
DO-63,3,10/1/19,10/4/19,C00106933,,,
DO-64,1,11/12/19,11/14/19,C00106934,,,
DO-65,2,9/24/19,9/27/19,C00106934,,,
DO-66,3,10/1/19,10/4/19,C00106934,,,
DO-67,1,11/12/19,11/14/19,C00106934,,,
DO-68,2,9/24/19,9/27/19,C00106934,,,
DO-69,3,10/1/19,10/4/19,C00106935,,,
DO-7,1,11/12/19,11/14/19,C00106922,,,
DO-70,1,11/12/19,11/14/19,C00106935,,,
DO-71,2,9/24/19,9/27/19,C00106935,,,
DO-72,3,10/1/19,10/4/19,C00106935,,,
DO-73,1,11/12/19,11/14/19,C00106935,,,
DO-74,2,9/24/19,9/27/19,C00106936,,,
DO-75,3,10/1/19,10/4/19,C00106936,,,
DO-76,1,11/12/19,11/14/19,C00106936,,,
DO-77,2,9/24/19,9/27/19,C00106936,,,
DO-78,3,10/1/19,10/4/19,C00106936,,,
DO-79,1,11/12/19,11/14/19,C00106937,,,
DO-8,2,9/24/19,9/27/19,C00106937,,,
DO-80,2,9/24/19,9/27/19,C00106937,,,
DO-81,3,10/1/19,10/4/19,C00106937,,,
DO-82,1,11/12/19,11/14/19,C00106937,,,
DO-83,2,9/24/19,9/27/19,C00106937,,,
DO-84,3,10/1/19,10/4/19,C00106938,,,
DO-85,1,11/12/19,11/14/19,C00106938,,,
DO-86,2,9/24/19,9/27/19,C00106938,,,
DO-87,3,10/1/19,10/4/19,C00106938,,,
DO-88,1,11/12/19,11/14/19,C00106938,,,
DO-89,2,9/24/19,9/27/19,C00106940,,,
DO-9,3,10/1/19,10/4/19,C00106922,,,
DO-90,3,10/1/19,10/4/19,C00106940,,,
DO-91,1,11/12/19,11/14/19,C00109172,,,
DO-92,2,9/24/19,9/27/19,C00109172,,,
DO-93,1,11/12/19,11/14/19,C00106939,,,
DO-94,1,11/12/19,11/14/19,C00106939,,,
DO-95,2,9/24/19,9/27/19,C00106939,,,
DO-96,2,9/24/19,9/27/19,C00106939,,,
DO-97,1,11/12/19,11/14/19,C00106939,,,
DO-98,2,9/24/19,9/27/19,C00106941,,,
